open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1772323200000,9.1610,9.2140,9.1610,9.1960,289163,1772324099999,2658105.2660,8789,173934,1598718.3740,0
1772324100000,9.1950,9.2100,9.1770,9.1810,152048,1772324999999,1397746.7080,4507,65871,605532.3180,0
1772325000000,9.1810,9.1910,9.1500,9.1630,100709,1772325899999,923615.0030,4178,43078,395114.1750,0
1772325900000,9.1630,9.1750,9.1290,9.1350,106910,1772326799999,977837.2840,3865,43309,396237.6760,0
1772326800000,9.1350,9.1350,9.0540,9.0700,351175,1772327699999,3194355.1510,10105,133525,1214109.2770,0
1772327700000,9.0700,9.1340,9.0610,9.1230,186267,1772328599999,1694671.8190,5860,128098,1165556.8960,0
1772328600000,9.1230,9.2020,9.1030,9.1850,206416,1772329499999,1889166.7070,6274,155827,1425997.1640,0
1772329500000,9.1850,9.3380,9.1840,9.2680,572056,1772330399999,5300571.1450,16919,351039,3253236.5300,0
1772330400000,9.2680,9.4070,9.2680,9.3920,641899,1772331299999,6007530.4590,23276,392177,3669420.4340,0
1772331300000,9.3910,9.4270,9.3440,9.3670,249464,1772332199999,2339223.6310,11178,132649,1244482.2450,0
1772332200000,9.3670,9.3850,9.3380,9.3740,183555,1772333099999,1718862.5270,8587,93836,878927.1690,0
1772333100000,9.3740,9.3910,9.3390,9.3460,174991,1772333999999,1638465.3940,6822,95146,890992.6230,0
1772334000000,9.3460,9.3800,9.3120,9.3160,224812,1772334899999,2100844.2500,8089,94780,886270.2930,0
1772334900000,9.3150,9.3170,9.2750,9.2880,210541,1772335799999,1956928.1440,6133,59969,557395.7210,0
1772335800000,9.2870,9.2870,9.2590,9.2750,108849,1772336699999,1009471.5100,4239,46330,429684.6420,0
1772336700000,9.2760,9.2830,9.2340,9.2600,121766,1772337599999,1127020.4960,5076,50473,467193.6600,0
1772337600000,9.2600,9.2830,9.2360,9.2380,160322,1772338499999,1484904.3630,5637,82144,761125.0430,0
1772338500000,9.2380,9.2530,9.1810,9.2260,215627,1772339399999,1985571.1580,6820,78543,723480.0970,0
1772339400000,9.2260,9.2680,9.2220,9.2600,123909,1772340299999,1145527.8380,4083,76821,710148.7910,0
1772340300000,9.2610,9.2660,9.2520,9.2630,28394,1772341199999,262916.6010,2204,16745,155054.2890,0
1772341200000,9.2640,9.2990,9.2570,9.2650,94946,1772342099999,880566.7960,4252,54379,504502.9730,0
1772342100000,9.2660,9.2980,9.2620,9.2870,73485,1772342999999,681929.6200,2990,42534,394851.5220,0
1772343000000,9.2870,9.2950,9.2770,9.2840,68354,1772343899999,634794.0880,2975,48583,451189.6120,0
1772343900000,9.2840,9.2910,9.2570,9.2610,86419,1772344799999,801503.7630,4453,30213,280315.7950,0
1772344800000,9.2600,9.2690,9.1800,9.2050,214305,1772345699999,1975473.5350,7094,92449,852102.6740,0
1772345700000,9.2050,9.2500,9.2050,9.2230,142286,1772346599999,1313124.9550,4093,71527,660082.4900,0
1772346600000,9.2240,9.2300,9.1660,9.1860,155015,1772347499999,1424542.7820,4774,55955,514076.0200,0
1772347500000,9.1850,9.2000,9.1590,9.1810,110792,1772348399999,1016883.5510,3793,54006,495817.8680,0
1772348400000,9.1810,9.2010,9.1540,9.1930,115290,1772349299999,1058229.2080,4817,67823,622689.1520,0
1772349300000,9.1940,9.2150,9.1820,9.1890,47932,1772350199999,440716.2880,2543,28246,259699.6870,0
1772350200000,9.1880,9.2250,9.1710,9.2140,108509,1772351099999,998971.8720,4132,67810,624319.9350,0
1772351100000,9.2130,9.2310,9.2090,9.2130,46925,1772351999999,432479.9540,2200,29295,269998.1570,0
1772352000000,9.2140,9.2530,9.1920,9.2510,148414,1772352899999,1368574.8040,5548,94458,871150.6250,0
1772352900000,9.2510,9.2520,9.2040,9.2290,183229,1772353799999,1690174.5520,5038,81745,753916.8560,0
1772353800000,9.2280,9.2390,9.2120,9.2130,77591,1772354699999,715787.7140,3698,36070,332764.1860,0
1772354700000,9.2130,9.2220,9.1210,9.1360,336594,1772355599999,3081269.0450,9221,143486,1312962.9370,0
