open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1748736000000,657.920,657.930,656.850,657.110,3709.45,1748736899999,2438428.41370,6967,1681.66,1105232.40550,0
1748736900000,657.100,657.200,656.000,656.320,3650.12,1748737799999,2396650.46430,11706,1468.56,964244.12940,0
1748737800000,656.330,657.180,656.200,656.790,2139.44,1748738699999,1405058.39770,4908,1165.77,765604.43100,0
1748738700000,656.790,656.840,656.080,656.530,1964.21,1748739599999,1289443.23210,3486,1001.87,657740.96320,0
1748739600000,656.530,656.720,654.760,656.710,6612.92,1748740499999,4335395.82630,7706,3451.97,2263128.89200,0
1748740500000,656.710,656.960,655.370,656.100,3382.98,1748741399999,2219906.68580,5827,1985.19,1302512.02560,0
1748741400000,656.120,656.860,655.640,655.650,4689.23,1748742299999,3077824.66120,9689,3435.27,2254877.00270,0
1748742300000,655.650,656.160,654.260,654.780,5418.47,1748743199999,3548962.27730,8506,3163.29,2071831.55690,0
1748743200000,654.770,654.920,652.310,653.090,11910.23,1748744099999,7782731.48930,19743,7345.74,4800164.66280,0
1748744100000,653.090,655.540,653.090,655.120,3783.66,1748744999999,2475651.64240,7691,2327.88,1523129.15140,0
1748745000000,655.110,656.000,655.110,655.980,2328.09,1748745899999,1526299.74410,4483,1125.21,737686.83700,0
1748745900000,655.980,656.200,655.350,655.620,1799.96,1748746799999,1180451.79660,4121,872.17,571973.05910,0
1748746800000,655.630,655.770,653.080,654.320,8436.29,1748747699999,5515233.71440,8255,5659.30,3698751.66610,0
1748747700000,654.320,654.970,653.000,653.970,3567.09,1748748599999,2332725.40550,5696,1536.65,1004959.11670,0
1748748600000,653.960,655.550,653.960,655.310,1621.13,1748749499999,1061957.95130,3787,1008.45,660583.55820,0
1748749500000,655.310,655.930,655.300,655.310,1571.17,1748750399999,1030057.09980,3845,703.67,461356.64450,0
1748750400000,655.300,655.440,653.290,654.390,5969.19,1748751299999,3904929.33970,6366,3789.44,2478534.42830,0
1748751300000,654.390,655.200,654.200,654.990,1259.32,1748752199999,824465.42080,3461,763.13,499576.51800,0
1748752200000,654.980,656.490,654.980,656.370,2090.76,1748753099999,1371616.35920,9946,1311.93,860674.43440,0
1748753100000,656.380,656.790,656.220,656.680,1545.77,1748753999999,1014842.16670,3694,835.45,548489.20990,0
