open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759276800000,0.232820,0.233520,0.232530,0.232680,47961717,1759277699999,11179466.852010,14428,23327711,5437863.050750,0
1759277700000,0.232690,0.232690,0.231740,0.231820,37256210,1759278599999,8650967.614560,11667,15540665,3608174.100070,0
1759278600000,0.231810,0.232310,0.231250,0.231370,41015414,1759279499999,9503709.662090,12071,17541635,4065184.765670,0
1759279500000,0.231380,0.232320,0.231150,0.232260,36036355,1759280399999,8351315.423530,13348,17066792,3954805.349220,0
1759280400000,0.232250,0.232870,0.231850,0.232580,37252310,1759281299999,8658377.634650,15539,18365684,4269276.718240,0
1759281300000,0.232580,0.232950,0.231750,0.232810,57962815,1759282199999,13471056.439300,15658,30662898,7128697.070610,0
1759282200000,0.232810,0.233290,0.232120,0.233100,33057392,1759283099999,7698395.878890,12531,17795250,4144538.966030,0
1759283100000,0.233110,0.233890,0.233010,0.233750,43744683,1759283999999,10211062.332190,13162,25511298,5955251.565300,0
1759284000000,0.233740,0.233830,0.233220,0.233420,38981789,1759284899999,9103801.151110,12202,15832475,3697735.843970,0
1759284900000,0.233410,0.234230,0.233320,0.233990,35666561,1759285799999,8341498.990440,11671,23080056,5398116.020740,0
1759285800000,0.233990,0.234030,0.232920,0.232930,32643554,1759286699999,7618143.424240,11501,11305604,2638671.035660,0
1759286700000,0.232930,0.233300,0.232540,0.232680,27340660,1759287599999,6366951.778240,10795,12263917,2856098.909270,0
1759287600000,0.232690,0.232940,0.232300,0.232790,31293220,1759288499999,7278254.664920,11945,15541043,3614977.713760,0
1759288500000,0.232800,0.232870,0.232070,0.232300,36299876,1759289399999,8437918.010570,12739,16997982,3951188.486620,0
1759289400000,0.232300,0.232600,0.231650,0.231720,41519381,1759290299999,9639647.097190,11991,12224176,2838470.138460,0
1759290300000,0.231720,0.231720,0.230590,0.230670,76405794,1759291199999,17647343.396760,18012,36285876,8381406.373510,0
1759291200000,0.230670,0.232420,0.230230,0.232020,86751914,1759292099999,20090717.691410,23301,44085002,10210078.622870,0
1759292100000,0.232020,0.233020,0.232020,0.233020,55373100,1759292999999,12882065.508680,15911,30353296,7064079.177470,0
1759293000000,0.233020,0.233500,0.232610,0.232930,56549215,1759293899999,13182774.097140,17463,36055347,8406313.677640,0
1759293900000,0.232920,0.233300,0.232190,0.232470,35851532,1759294799999,8343039.647170,12777,18089335,4210279.912230,0
1759294800000,0.232480,0.234020,0.232470,0.233430,52118816,1759295699999,12165039.704240,17277,31257704,7295493.383030,0
1759295700000,0.233440,0.233800,0.233010,0.233320,27677376,1759296599999,6458761.844970,11437,12557228,2930643.381260,0
1759296600000,0.233310,0.233670,0.232830,0.233570,21233137,1759297499999,4955257.707090,10754,9336018,2179180.447400,0
1759297500000,0.233570,0.233650,0.233010,0.233170,23639975,1759298399999,5516130.173690,9479,11415449,2664148.938050,0
1759298400000,0.233170,0.233560,0.233000,0.233240,30888830,1759299299999,7206353.209420,13142,14542315,3392704.108910,0
1759299300000,0.233240,0.233650,0.232400,0.233050,32237538,1759300199999,7511011.032800,13195,14544202,3388475.344760,0
1759300200000,0.233040,0.233550,0.232970,0.233310,23020051,1759301099999,5369710.540140,10654,12068894,2815049.835920,0
1759301100000,0.233310,0.233360,0.232010,0.232170,41276327,1759301999999,9591034.744930,14366,18747799,4355968.516120,0
1759302000000,0.232160,0.232910,0.232030,0.232800,31509787,1759302899999,7326583.167900,13486,16678830,3877881.063200,0
1759302900000,0.232800,0.233380,0.232790,0.233190,25973745,1759303799999,6053337.696910,12516,13840044,3225377.403330,0
1759303800000,0.233200,0.233830,0.233170,0.233740,37198939,1759304699999,8687958.467770,13281,23612261,5514526.332860,0
