open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1769904000000,9.982,10.029,9.969,10.021,324335.52,1769904899999,3245107.12294,9885,173416.99,1735184.97292,0
1769904900000,10.020,10.046,9.993,10.007,266254.44,1769905799999,2667131.09634,7691,128422.72,1286530.48254,0
1769905800000,10.007,10.029,9.964,9.990,200744.42,1769906699999,2005440.79065,7065,97042.57,969446.88502,0
1769906700000,9.991,10.027,9.988,10.013,118472.28,1769907599999,1185731.03516,4126,56825.10,568655.84181,0
1769907600000,10.012,10.017,9.933,9.960,160964.68,1769908499999,1603507.91128,6212,71910.66,716374.95560,0
1769908500000,9.959,10.021,9.908,10.019,144819.12,1769909399999,1440162.60341,5240,78354.85,779647.82981,0
1769909400000,10.018,10.020,9.966,9.970,138784.77,1769910299999,1386784.01059,5167,73659.90,736098.99074,0
1769910300000,9.970,10.022,9.970,10.012,86064.67,1769911199999,860448.86339,3265,46453.66,464479.20498,0
1769911200000,10.013,10.062,9.994,10.056,127252.39,1769912099999,1275681.28510,4888,66989.85,671589.86371,0
1769912100000,10.056,10.064,9.997,10.017,127791.10,1769912999999,1281057.17610,4505,61806.49,619638.97054,0
1769913000000,10.017,10.056,10.017,10.042,113944.24,1769913899999,1143482.81039,3907,48913.35,490982.86058,0
1769913900000,10.042,10.074,10.038,10.049,136401.15,1769914799999,1371857.33382,4067,81480.01,819534.92195,0
1769914800000,10.049,10.071,10.024,10.031,135062.36,1769915699999,1356154.79923,4404,60700.21,609471.91934,0
1769915700000,10.031,10.043,10.009,10.025,123957.03,1769916599999,1242091.46663,3560,58806.24,589293.76254,0
1769916600000,10.024,10.039,10.006,10.014,87242.44,1769917499999,874361.91949,3104,38010.59,380970.23934,0
1769917500000,10.014,10.046,10.014,10.039,91256.72,1769918399999,915743.53488,2935,48333.73,485014.95047,0
1769918400000,10.039,10.075,10.029,10.059,160284.45,1769919299999,1610259.24736,4644,83204.46,836253.13668,0
1769919300000,10.060,10.074,10.026,10.033,103893.62,1769920199999,1044167.01926,3324,61095.34,614043.86870,0
1769920200000,10.034,10.052,10.023,10.040,57928.67,1769921099999,581388.68828,2584,27788.98,278869.82410,0
1769921100000,10.041,10.046,10.017,10.017,61585.38,1769921999999,618120.19755,2357,33918.97,340454.27549,0
1769922000000,10.017,10.030,9.980,10.012,174115.92,1769922899999,1741862.73206,4802,82674.82,827390.61482,0
1769922900000,10.012,10.047,9.993,10.040,77608.53,1769923799999,778002.40355,3293,40618.96,407272.46865,0
1769923800000,10.041,10.044,9.961,9.967,171265.75,1769924699999,1713469.40841,4302,62433.92,624830.60230,0
