open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1778070600000,0.1512,0.1517,0.1512,0.1516,175890,1778071499999,26642.1171,432,120119,18194.7727,0
1778071500000,0.1516,0.1526,0.1515,0.1519,564826,1778072399999,85862.5571,650,337430,51301.3703,0
1778072400000,0.1519,0.152,0.1502,0.1507,744775,1778073299999,112586.5223,1065,412871,62466.8569,0
1778073300000,0.1508,0.151,0.1496,0.1503,718155,1778074199999,107941.9911,948,324971,48853.9724,0
1778074200000,0.1501,0.1506,0.1495,0.1498,592001,1778075099999,88830.1359,908,379623,56968.7337,0
1778075100000,0.1499,0.1499,0.1486,0.1494,885015,1778075999999,132048.9395,1040,466585,69661.1469,0
1778076000000,0.1493,0.1494,0.1472,0.1483,912986,1778076899999,135269.5992,1303,391269,58062.2901,0
1778076900000,0.1483,0.1492,0.1479,0.1488,248295,1778077799999,36899.3388,560,129421,19236.226,0
1778077800000,0.1488,0.1493,0.1488,0.1492,212363,1778078699999,31645.887,402,104391,15557.7054,0
1778078700000,0.1492,0.1494,0.148,0.1483,475771,1778079599999,70786.1664,427,108035,16061.5179,0
1778079600000,0.1483,0.1489,0.148,0.1484,349896,1778080499999,51968.5749,570,196466,29189.2006,0
1778080500000,0.1483,0.1491,0.1483,0.1485,146338,1778081399999,21772.7632,334,70108,10432.092,0
1778081400000,0.1485,0.1487,0.1481,0.1487,245557,1778082299999,36452.0473,514,164332,24396.1518,0
1778082300000,0.1487,0.1492,0.1487,0.1491,137985,1778083199999,20559.5408,307,81763,12185.1417,0
1778083200000,0.149,0.1502,0.1489,0.1499,417389,1778084099999,62442.3393,671,260932,39043.625,0
1778084100000,0.15,0.1501,0.1487,0.1488,260343,1778084999999,38829.9736,460,135708,20233.4866,0
1778085000000,0.1487,0.149,0.1482,0.149,464850,1778085899999,69029.2767,651,251456,37363.1213,0
1778085900000,0.149,0.1493,0.1487,0.1491,189701,1778086799999,28262.4606,383,91876,13689.9439,0
1778086800000,0.149,0.1494,0.1489,0.149,124013,1778087699999,18497.6788,335,68074,10155.1139,0
1778087700000,0.149,0.1491,0.1483,0.1489,147040,1778088599999,21842.6687,395,55416,8234.2677,0
1778088600000,0.1488,0.149,0.1484,0.1487,128204,1778089499999,19052.0689,341,67353,10009.2815,0
1778089500000,0.1487,0.1487,0.1481,0.1484,103666,1778090399999,15374.4809,296,39635,5878.3553,0
1778090400000,0.1484,0.1487,0.1478,0.1481,541455,1778091299999,80262.322,683,206137,30587.2339,0
1778091300000,0.1481,0.1482,0.1472,0.1475,847387,1778092199999,125077.9172,846,314025,46362.0661,0
1778092200000,0.1475,0.148,0.1472,0.148,466930,1778093099999,68900.541,639,244130,36015.9001,0
1778093100000,0.1479,0.1481,0.1477,0.148,147790,1778093999999,21869.9315,362,90055,13329.4921,0
1778094000000,0.148,0.1486,0.1479,0.1479,251613,1778094899999,37311.6234,478,201090,29820.1323,0
1778094900000,0.1479,0.1482,0.1474,0.1476,237493,1778095799999,35096.527,389,71618,10596.0647,0
1778095800000,0.1477,0.1484,0.1475,0.1483,251290,1778096699999,37157.7534,443,135981,20119.3648,0
1778096700000,0.1484,0.1489,0.1483,0.1487,190560,1778097599999,28318.4554,452,106698,15856.4735,0
1778097600000,0.1487,0.1496,0.1486,0.1496,125165,1778098499999,18662.1627,385,76653,11429.2938,0
1778098500000,0.1496,0.1498,0.1493,0.1495,272411,1778099399999,40740.039,433,154676,23136.6952,0
1778099400000,0.1494,0.1495,0.1487,0.1488,114999,1778100299999,17126.3371,344,66014,9829.2703,0
1778100300000,0.1487,0.1493,0.1486,0.1493,39477,1778101199999,5875.2609,201,29664,4415.2567,0
1778101200000,0.1493,0.1497,0.1488,0.1491,170061,1778102099999,25390.7023,416,75345,11256.1589,0
1778102100000,0.1491,0.1498,0.149,0.1497,135058,1778102999999,20180.6348,279,111747,16701.4629,0
1778103000000,0.1498,0.1506,0.1498,0.1505,159281,1778103899999,23919.5657,420,89045,13378.2784,0
1778103900000,0.1504,0.1507,0.1502,0.1505,73470,1778104799999,11058.9366,309,42523,6402.0671,0
1778104800000,0.1505,0.1505,0.1497,0.1499,186377,1778105699999,27988.7843,585,82312,12363.216,0
1778105700000,0.1498,0.1499,0.1491,0.1492,104561,1778106599999,15628.9474,307,41726,6240.3986,0
1778106600000,0.1492,0.1496,0.1491,0.1494,325265,1778107499999,48553.9971,483,90545,13525.3046,0
1778107500000,0.1495,0.1497,0.1492,0.1492,120200,1778108399999,17956.2236,283,90920,13582.6979,0
1778108400000,0.1492,0.1493,0.1482,0.1486,244786,1778109299999,36362.8263,575,142617,21185.7464,0
1778109300000,0.1486,0.1491,0.148,0.149,488628,1778110199999,72509.9902,586,141946,21104.9909,0
1778110200000,0.1489,0.1493,0.1487,0.1493,171210,1778111099999,25512.097,347,90496,13484.4664,0
1778111100000,0.1493,0.1497,0.1493,0.1495,77593,1778111999999,11599.7248,323,51014,7626.7488,0
1778112000000,0.1496,0.1497,0.149,0.149,295642,1778112899999,44139.0589,615,117665,17564.2754,0
1778112900000,0.1489,0.1489,0.1482,0.1482,225301,1778113799999,33473.2401,453,130266,19358.5701,0
1778113800000,0.1481,0.1482,0.1474,0.1476,351361,1778114699999,51988.5499,568,203837,30158.9979,0
1778114700000,0.1476,0.1482,0.1472,0.1476,340459,1778115599999,50283.3777,560,176370,26063.5407,0
1778115600000,0.1476,0.1476,0.1456,0.1469,1260762,1778116499999,184737.9042,1513,356829,52346.8792,0
1778116500000,0.1469,0.1471,0.1457,0.1471,331027,1778117399999,48497.7916,669,208417,30537.318,0
1778117400000,0.1471,0.1474,0.1465,0.1469,180916,1778118299999,26587.7917,508,85092,12510.7385,0
1778118300000,0.1468,0.1471,0.1462,0.1463,211394,1778119199999,30987.7618,446,97849,14348.4276,0
1778119200000,0.1462,0.1464,0.1453,0.1456,299595,1778120099999,43678.0672,652,100035,14596.3478,0
1778120100000,0.1454,0.1457,0.1452,0.1454,237729,1778120999999,34575.074,409,137225,19959.5876,0
1778121000000,0.1454,0.146,0.1451,0.1458,558393,1778121899999,81326.3633,677,335533,48904.0873,0
1778121900000,0.1457,0.147,0.1457,0.1466,1938730,1778122799999,283853.8027,1324,1472811,215561.69,0
1778122800000,0.1466,0.1469,0.1464,0.1465,345830,1778123699999,50726.3075,571,138621,20332.2721,0
1778123700000,0.1465,0.1466,0.1455,0.1461,280717,1778124599999,41029.9199,480,103655,15139.6181,0
1778124600000,0.1461,0.1461,0.1452,0.1459,244410,1778125499999,35587.3617,547,96028,13985.9726,0
1778125500000,0.146,0.1463,0.1453,0.1453,179170,1778126399999,26131.2736,531,96425,14072.9305,0
1778126400000,0.1454,0.1461,0.1452,0.1461,144572,1778127299999,21022.6469,452,79847,11617.3019,0
1778127300000,0.146,0.147,0.1459,0.1466,211778,1778128199999,31031.8893,463,112090,16427.6968,0
1778128200000,0.1467,0.147,0.146,0.1463,279657,1778129099999,40998.854,564,85663,12559.7196,0
1778129100000,0.1463,0.1467,0.1461,0.1465,336684,1778129999999,49272.2034,477,106909,15645.8854,0
1778130000000,0.1465,0.1472,0.1465,0.1468,361340,1778130899999,53072.2017,598,190029,27910.2617,0
1778130900000,0.1468,0.1485,0.1466,0.1482,820695,1778131799999,121139.2937,847,607197,89646.1763,0
1778131800000,0.1482,0.1488,0.1481,0.1487,331052,1778132699999,49120.8216,647,220154,32669.4994,0
1778132700000,0.1488,0.1492,0.148,0.1484,426032,1778133599999,63361.6315,652,269517,40111.1647,0
1778133600000,0.1484,0.1486,0.1478,0.1478,309857,1778134499999,45909.9511,662,177291,26271.5434,0
1778134500000,0.1478,0.1482,0.1474,0.1481,253200,1778135399999,37414.1274,523,120155,17758.4464,0
1778135400000,0.1481,0.149,0.1479,0.149,220794,1778136299999,32761.1588,511,147971,21956.8471,0
1778136300000,0.149,0.1492,0.1487,0.1492,153475,1778137199999,22855.4738,312,103333,15391.1999,0
1778137200000,0.1492,0.1494,0.1489,0.1494,333611,1778138099999,49732.8568,659,183802,27402.9256,0
1778138100000,0.1495,0.1499,0.1492,0.1493,144549,1778138999999,21613.4735,354,47677,7131.3493,0
1778139000000,0.1492,0.1503,0.1491,0.1499,375061,1778139899999,56200.3484,603,228905,34320.0623,0
1778139900000,0.1499,0.1505,0.1494,0.1502,872402,1778140799999,130830.5182,855,541132,81208.6812,0
1778140800000,0.1502,0.1507,0.1501,0.1505,355816,1778141699999,53498.7516,711,202319,30427.7859,0
1778141700000,0.1504,0.1508,0.1502,0.1505,329311,1778142599999,49569.3149,585,225594,33966.9462,0
