open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1777371300000,0.08972,0.08997,0.08962,0.08973,127028,1777372199999,11410.5857,714,65886,5919.86527,0
1777372200000,0.08972,0.09012,0.0896,0.09012,157383,1777373099999,14145.48183,893,66437,5971.75332,0
1777373100000,0.09012,0.09014,0.08984,0.09005,137128,1777373999999,12342.28025,1199,50641,4558.3658,0
1777374000000,0.09005,0.09017,0.08982,0.08989,345286,1777374899999,31080.957,993,103607,9323.76844,0
1777374900000,0.08989,0.08998,0.08937,0.08944,213981,1777375799999,19194.95631,956,60511,5432.98625,0
1777375800000,0.08946,0.08958,0.08926,0.08947,96703,1777376699999,8650.49953,579,35637,3187.68509,0
1777376700000,0.08946,0.08946,0.08864,0.08904,213413,1777377599999,18973.08926,992,83685,7441.46131,0
1777377600000,0.08905,0.08979,0.08891,0.08966,316001,1777378499999,28250.65028,1212,195130,17441.03361,0
1777378500000,0.08967,0.08983,0.08952,0.0896,193789,1777379399999,17380.19709,1082,92763,8320.94529,0
1777379400000,0.08959,0.0901,0.08939,0.09002,206171,1777380299999,18489.0656,1013,102059,9152.79437,0
1777380300000,0.09002,0.0906,0.08993,0.0904,181501,1777381199999,16381.55784,1153,115662,10438.76215,0
1777381200000,0.0904,0.0906,0.09008,0.09028,291453,1777382099999,26338.52955,1438,126673,11450.22401,0
1777382100000,0.09025,0.09038,0.08992,0.09024,193162,1777382999999,17408.93805,1059,93621,8439.80716,0
1777383000000,0.09023,0.09052,0.08996,0.09009,285556,1777383899999,25761.69294,1269,94934,8570.46873,0
1777383900000,0.09009,0.09094,0.09008,0.09085,572472,1777384799999,51888.09088,2020,351817,31884.27773,0
1777384800000,0.09085,0.09458,0.09068,0.09433,4834493,1777385699999,449320.03363,14333,2998665,278863.49716,0
1777385700000,0.09436,0.09644,0.09235,0.09443,7954059,1777386599999,749897.25843,26310,4004994,377748.73655,0
1777386600000,0.09448,0.09794,0.09354,0.09501,9972572,1777387499999,951771.95059,34218,4941651,471741.12308,0
1777387500000,0.09501,0.0962,0.09409,0.09511,2896256,1777388399999,275706.2806,11496,1455899,138628.78208,0
1777388400000,0.09506,0.09652,0.0949,0.09585,2657473,1777389299999,254549.92687,10155,1341557,128559.70362,0
1777389300000,0.09582,0.096,0.09383,0.09409,3102466,1777390199999,293949.70312,10820,1456407,138071.08901,0
1777390200000,0.09409,0.09456,0.09268,0.09326,1829797,1777391099999,171463.41293,6270,674723,63297.08926,0
1777391100000,0.09326,0.09453,0.09165,0.09437,2744276,1777391999999,255088.57967,7048,1617386,150554.59499,0
1777392000000,0.09438,0.09471,0.0929,0.09291,1374681,1777392899999,129201.25932,4915,673678,63337.68197,0
1777392900000,0.0929,0.09296,0.09181,0.09232,1737318,1777393799999,160521.84229,4255,812090,75070.44717,0
1777393800000,0.09233,0.09251,0.09131,0.0917,1037828,1777394699999,95325.65186,2630,437561,40217.03651,0
1777394700000,0.09169,0.09177,0.09085,0.09101,594471,1777395599999,54311.80163,2198,320254,29269.80195,0
1777395600000,0.09101,0.09189,0.09085,0.09186,634845,1777396499999,57897.32968,2444,310163,28301.38554,0
1777396500000,0.09187,0.09238,0.09169,0.09195,474181,1777397399999,43640.5456,2191,229564,21134.2844,0
1777397400000,0.09195,0.09235,0.09195,0.09204,215956,1777398299999,19899.62886,1062,133826,12333.49912,0
1777398300000,0.09203,0.09301,0.09201,0.09257,547640,1777399199999,50657.95872,1881,355120,32857.30668,0
1777399200000,0.09255,0.09283,0.09215,0.09219,210135,1777400099999,19432.86046,1162,117917,10905.88114,0
1777400100000,0.09218,0.09224,0.09194,0.09209,123142,1777400999999,11336.97518,854,56671,5216.97511,0
1777401000000,0.09209,0.09234,0.092,0.09217,165242,1777401899999,15225.53115,778,70281,6473.98385,0
1777401900000,0.09217,0.09283,0.09217,0.0923,274880,1777402799999,25424.58329,1370,142886,13216.06678,0
1777402800000,0.0923,0.09246,0.09152,0.0916,231260,1777403699999,21299.77095,1252,97840,9015.48517,0
1777403700000,0.09161,0.09169,0.09085,0.09129,901568,1777404599999,82208.24202,1703,444928,40571.18818,0
1777404600000,0.09129,0.09133,0.09054,0.09105,343399,1777405499999,31243.74823,1092,82047,7474.50499,0
1777405500000,0.09105,0.09137,0.09098,0.09133,347534,1777406399999,31668.512,948,229861,20948.40154,0
1777406400000,0.09135,0.09184,0.09135,0.09168,378849,1777407299999,34711.57365,1283,143199,13113.63014,0
1777407300000,0.09168,0.09223,0.09165,0.09199,472580,1777408199999,43453.57658,1189,271387,24960.4923,0
1777408200000,0.09201,0.09268,0.09191,0.0925,322428,1777409099999,29749.21005,1120,211336,19507.87673,0
1777409100000,0.09249,0.09274,0.09213,0.09222,390657,1777409999999,36131.03261,1203,145082,13415.78047,0
1777410000000,0.09219,0.09226,0.09175,0.09206,194430,1777410899999,17881.74238,896,90712,8340.7246,0
1777410900000,0.09205,0.09231,0.09203,0.09222,69619,1777411799999,6414.52517,432,28921,2665.07229,0
1777411800000,0.09221,0.09226,0.0921,0.09213,75500,1777412699999,6959.39148,426,42398,3908.70753,0
1777412700000,0.09213,0.09253,0.0921,0.09238,138869,1777413599999,12819.8285,658,85231,7869.00725,0
