open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1778448600000,1.4573,1.4632,1.4543,1.4602,7614079.2,1778449499999,11113114.29058,23335,3574655.7,5217581.78661,0
1778449500000,1.4602,1.4635,1.4543,1.4544,4817805.1,1778450399999,7028701.36983,15992,2116483.3,3088335.33609,0
1778450400000,1.4544,1.4655,1.4521,1.4623,12419315.3,1778451299999,18145258.33625,33732,6833295.9,9983128.32373,0
1778451300000,1.4623,1.4698,1.46,1.4663,9609444.0,1778452199999,14073593.71666,22346,5021187.2,7354248.86707,0
1778452200000,1.4664,1.4727,1.4634,1.4689,13522084.7,1778453099999,19863580.54273,32682,6558817.4,9634731.13585,0
1778453100000,1.469,1.4746,1.4688,1.4729,8536089.8,1778453999999,12562684.64144,19777,4724016.9,6953936.82437,0
1778454000000,1.4729,1.4756,1.4709,1.4731,8753201.6,1778454899999,12893794.34396,22537,3543415.9,5219929.97638,0
1778454900000,1.4731,1.4744,1.4685,1.4717,6281418.8,1778455799999,9239668.59998,14223,2683971.3,3948783.79584,0
1778455800000,1.4717,1.4763,1.4712,1.4755,5437080.1,1778456699999,8014745.4789,12745,2840412.3,4187097.64105,0
1778456700000,1.4755,1.4763,1.4708,1.4726,5138553.9,1778457599999,7568802.40659,11070,2266654.0,3338397.00984,0
1778457600000,1.4727,1.4776,1.4682,1.4692,10433278.0,1778458499999,15371712.49956,22472,4804273.0,7080479.83051,0
1778458500000,1.4693,1.4695,1.4595,1.4604,13562882.3,1778459399999,19851335.35691,26560,5427480.7,7943713.46404,0
1778459400000,1.4603,1.4683,1.457,1.4586,8863906.5,1778460299999,12967911.52614,21535,4516579.9,6608634.43964,0
1778460300000,1.4586,1.4608,1.4518,1.4574,10022106.9,1778461199999,14590448.64991,23953,5756294.8,8381143.57456,0
1778461200000,1.4574,1.4632,1.4514,1.4604,7597043.4,1778462099999,11069369.48421,23139,4149273.3,6046589.42247,0
