entry_time_utc,exit_time_utc,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2025-06-08T11:00:00,2025-06-09T01:45:00,long,8.5,105400.4,104905.6,0.4694,30,0.9296,0.3254,breakeven_or_trailing_stop,2.187,0.053,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-06-09T07:00:00,2025-06-09T09:30:00,long,7.5,105511.3,105235.05,0.2618,50,1.5444,0.5406,tp3,3.881,0.297,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-06-10T09:30:00,2025-06-10T13:30:00,long,7.5,109322.6,108977.65,0.3155,50,0.1465,0.0513,breakeven_or_trailing_stop,1.537,1.259,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-06-11T07:00:00,2025-06-11T09:30:00,long,8.5,109650.3,109299.19,0.3202,50,-1.2498,-0.4374,stop,0.0,1.265,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-06-13T13:45:00,2025-06-13T14:45:00,short,7.5,104685.4,105300.31,0.5874,30,0.2638,0.0923,breakeven_or_trailing_stop,1.002,0.459,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-06-14T13:30:00,2025-06-14T16:45:00,short,7.5,104928.5,105111.01,0.1739,50,1.3901,0.4865,tp3,3.498,0.488,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-06-15T07:30:00,2025-06-15T22:45:00,short,7.5,105305.8,106125.95,0.7788,20,0.2973,0.104,breakeven_or_trailing_stop,1.105,0.615,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-06-17T07:30:00,2025-06-17T09:00:00,long,7.5,106612,106383.46,0.2144,50,-1.3732,-0.4806,stop,0.758,1.288,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; 量能与实体合格; 关键目标RR>=2
2025-06-18T07:00:00,2025-06-18T14:00:00,short,7.5,104808.9,105527.55,0.6857,20,0.2833,0.0992,breakeven_or_trailing_stop,1.473,0.651,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-06-19T07:15:00,2025-06-19T17:30:00,short,7.5,104672.7,105209.08,0.5124,30,0.2439,0.0854,breakeven_or_trailing_stop,1.496,0.67,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 关键目标RR>=2
