entry_time_utc,exit_time_utc,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2025-06-10T13:45:00,2025-06-10T14:15:00,long,9,109266.9,108756.88,0.4668,30,-1.1714,-0.41,stop,0.06,1.258,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-06-22T13:00:00,2025-06-22T13:30:00,short,10,102230.8,102822.06,0.5784,30,1.7117,0.5991,tp3,3.404,0,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-06-26T13:30:00,2025-06-26T13:45:00,long,9,107188,106929.91,0.2408,50,-1.3322,-0.4663,stop,0.302,1.731,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-07T07:00:00,2025-07-07T11:15:00,long,10,108828.3,108588.61,0.2202,50,-1.3632,-0.4771,stop,0.888,1.265,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-08T16:15:00,2025-07-09T03:15:00,long,10,108399.9,107994.8,0.3737,40,0.1859,0.0651,breakeven_or_trailing_stop,1.766,0.681,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-11T13:45:00,2025-07-11T15:45:00,long,10,117967.1,117202.5,0.6481,20,-1.1234,-0.3932,stop,0.252,1.624,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-14T14:15:00,2025-07-14T14:30:00,long,9,121455,121043.98,0.3384,50,-1.2364,-0.4327,stop,0.059,1.822,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-16T14:15:00,2025-07-16T15:00:00,long,10,118443.9,118107.29,0.2842,50,1.5685,0.549,tp3,3.989,0.596,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-26T08:15:00,2025-07-26T10:30:00,long,9,117471.1,117277.23,0.165,50,1.3653,0.4778,tp3,3.913,0.269,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-31T15:00:00,2025-07-31T16:30:00,long,9,117981.9,117733.77,0.2103,50,1.4696,0.5144,tp3,3.499,0.438,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-04T08:15:00,2025-08-04T13:30:00,short,10,114410.5,114766.01,0.3107,50,-1.2575,-0.4401,stop,0.958,1.064,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-05T08:30:00,2025-08-05T09:15:00,short,9,114270,114527.21,0.2251,50,-1.3554,-0.4744,stop,0.355,1.103,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 关键目标RR>=2
2025-08-06T09:15:00,2025-08-06T13:45:00,short,9,114056.7,114423.13,0.3213,50,0.151,0.0528,breakeven_or_trailing_stop,1.465,0.862,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-08T10:45:00,2025-08-08T12:45:00,long,9,116496.6,116231.74,0.2274,50,0.0481,0.0168,breakeven_or_trailing_stop,1.387,0.186,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-23T09:45:00,2025-08-23T10:45:00,long,9,115740.5,115547.67,0.1666,50,-1.4802,-0.5181,stop,0.05,1.039,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-27T14:30:00,2025-08-27T20:30:00,short,9,111863.6,112623.63,0.6794,20,0.2823,0.0988,breakeven_or_trailing_stop,1.328,0.903,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-09-02T08:45:00,2025-09-02T12:30:00,short,9,110313.9,110737.22,0.3837,40,1.6415,0.5745,tp3,4.02,0.81,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-09-16T13:15:00,2025-09-16T13:30:00,long,9,115407.2,115127.56,0.2423,50,-1.3302,-0.4656,stop,0.201,1.456,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 关键目标RR>=2
2025-09-23T09:15:00,2025-09-23T11:30:00,short,9,112950,113265.22,0.2791,50,0.1133,0.0397,breakeven_or_trailing_stop,1.002,0.381,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-09-25T16:00:00,2025-09-25T17:00:00,short,9,111477.1,111748.16,0.2432,50,1.521,0.5323,tp3,5.126,0.04,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-09-26T09:30:00,2025-09-26T12:30:00,short,10,109373.9,109689.75,0.2888,50,0.823,0.288,breakeven_or_trailing_stop,2.558,0.537,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-09-28T09:00:00,2025-09-28T13:30:00,short,10,109309.3,109559.09,0.2285,50,-1.3501,-0.4725,stop,0.692,1.085,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-09-29T13:00:00,2025-09-29T13:30:00,long,9,112058,111785.81,0.2429,50,1.5206,0.5322,tp3,4.503,0.121,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-10-02T15:00:00,2025-10-03T15:00:00,long,10,119128.2,118399.75,0.6115,20,1.5428,0.54,time_after_tp2,2.568,0.223,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-10-10T09:45:00,2025-10-10T13:00:00,short,9,121249.9,121767.7,0.4271,40,-1.1873,-0.4156,stop,0.167,1.198,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-10-19T09:30:00,2025-10-19T09:45:00,short,9,106923.6,107248.24,0.3036,50,-1.2635,-0.4422,stop,0.613,3.977,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-10-23T14:15:00,2025-10-24T04:30:00,long,9,109255.6,108576.29,0.6218,20,1.7213,0.6025,tp3,3.286,0.072,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-11-01T17:00:00,2025-11-02T04:30:00,short,9,110305.2,110517.58,0.1925,50,0.6845,0.2396,breakeven_or_trailing_stop,2.362,0.856,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-11-06T13:30:00,2025-11-06T14:45:00,short,9,103251.2,103638.09,0.3747,40,1.6365,0.5728,tp3,3.231,0.772,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-11-07T17:30:00,2025-11-07T18:15:00,short,9,102088.5,102794.48,0.6915,20,-1.1157,-0.3905,stop,0.351,1.033,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-11-09T09:15:00,2025-11-09T11:00:00,short,9,101914.1,102122.38,0.2044,50,0.7085,0.248,breakeven_or_trailing_stop,2.195,1.188,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-11-13T14:45:00,2025-11-13T15:15:00,short,9,102823.4,103530.69,0.6879,20,0.2837,0.0993,breakeven_or_trailing_stop,1.296,0.207,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-11-16T08:00:00,2025-11-16T09:45:00,short,9,95927,96250.62,0.3374,50,-1.2371,-0.433,stop,0.335,2.08,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-11-18T15:45:00,2025-11-18T16:00:00,short,9,92851.4,93084.46,0.251,50,-1.3187,-0.4616,stop,1.37,1.496,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-11-19T13:30:00,2025-11-19T15:00:00,short,9,91442.7,91936.16,0.5396,30,-1.1482,-0.4019,stop,0.884,1.726,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-12-03T11:15:00,2025-12-03T14:00:00,long,9,92952,92563.52,0.4179,40,-1.1914,-0.417,stop,0.704,3.384,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-12-09T13:30:00,2025-12-09T15:00:00,short,9,90153.4,90854.89,0.7781,20,-1.1028,-0.386,stop,0.286,1.529,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-12-12T14:30:00,2025-12-12T15:15:00,long,9,92408.4,91820.2,0.6365,20,-1.1257,-0.394,stop,0.377,2.755,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-12-17T14:30:00,2025-12-17T14:45:00,short,9,87456.6,87926.72,0.5375,30,-1.1488,-0.4021,stop,0.76,4.698,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-12-20T11:15:00,2025-12-20T13:15:00,long,9,88200,88049.76,0.1703,50,-1.4697,-0.5144,stop,0.799,3.338,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-12-25T08:00:00,2025-12-25T10:30:00,short,10,87751.9,87901.31,0.1703,50,1.3801,0.483,tp3,3.567,0,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2026-01-08T15:00:00,2026-01-08T15:15:00,short,9,90270.7,90518.8,0.2748,50,-1.2911,-0.4519,stop,0.164,1.327,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2026-01-13T14:00:00,2026-01-13T14:30:00,long,9,91928.7,91669.93,0.2815,50,1.5658,0.548,tp3,3.707,0.015,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2026-01-15T14:45:00,2026-01-15T15:45:00,long,9,96013.6,95499.59,0.5354,30,-1.1494,-0.4023,stop,1.594,1.187,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2026-01-16T15:00:00,2026-01-16T15:15:00,long,10,95534.8,94969.19,0.592,30,-1.1351,-0.3973,stop,0.036,1.586,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2026-01-18T14:15:00,2026-01-18T16:00:00,short,9,95132.6,95341.93,0.22,50,0.0364,0.0128,breakeven_or_trailing_stop,1.241,0.406,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2026-01-23T16:45:00,2026-01-23T17:15:00,short,9,90079,90524.04,0.4941,30,-1.1619,-0.4067,stop,0.332,1.998,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2026-02-12T14:00:00,2026-02-12T16:00:00,short,9,67971.6,68434.19,0.6806,20,1.7325,0.6064,tp3,3.267,0.602,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2026-03-14T14:00:00,2026-03-14T17:15:00,short,9,70702.6,70932.75,0.3255,50,0.1542,0.054,breakeven_or_trailing_stop,1.123,0.438,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2026-03-21T07:30:00,2026-03-21T12:15:00,short,9,70717.2,70863.9,0.2074,50,0.0144,0.005,breakeven_or_trailing_stop,1.783,0.357,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2026-03-29T11:00:00,2026-03-29T11:30:00,short,9,66745.7,66865.39,0.1793,50,-1.4461,-0.5061,stop,0.353,1.281,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2026-04-04T10:00:00,2026-04-04T10:30:00,short,10,66880.9,67035.08,0.2305,50,-1.347,-0.4715,stop,0,1.031,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2026-04-13T08:45:00,2026-04-13T09:15:00,long,9,70644.8,70495.19,0.2118,50,0.0223,0.0078,breakeven_or_trailing_stop,1.541,0.066,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
