entry_time_utc,exit_time_utc,strategy,regime,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2025-06-07T13:15:00,2025-06-08T13:15:00,trend,trend_up,long,8,105450.3,104837.14,0.5815,30,0.2494,0.0873,timeout,0.698,0.853,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-06-10T11:15:00,2025-06-10T13:30:00,trend,trend_up,long,7.9,109696,108974.77,0.6575,20,-1.1217,-0.3926,stop,0.218,1.12,V2趋势状态：4H多头; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-06-11T14:45:00,2025-06-11T18:00:00,trend,trend_up,long,7.0,109831.2,108883.86,0.8625,20,-1.0927,-0.3825,stop,0.176,1.19,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-06-22T07:30:00,2025-06-22T13:30:00,trend,trend_down,short,7.9,102292,102949.13,0.6424,30,1.7055,0.5969,tp_final,3.156,0.757,V2趋势状态：4H空头; 反抽EMA20/VWAP后跌回; 跌破短结构低点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-06-23T11:30:00,2025-06-23T13:30:00,trend,trend_down,short,7.0,101228,101925.36,0.6889,20,-1.1161,-0.3906,stop,0.686,1.647,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 趋势目标RR>=2
2025-06-25T13:00:00,2025-06-26T13:00:00,trend,trend_up,long,9.1,107344.9,106466.62,0.8182,20,-0.4981,-0.1743,timeout,1.03,0.734,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-07-02T11:45:00,2025-07-02T16:00:00,trend,trend_up,long,7.0,107439.6,106806.7,0.5891,30,1.6942,0.593,tp_final,3.445,0.486,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-07-03T07:30:00,2025-07-03T12:30:00,trend,trend_up,long,7.0,109255,108666.26,0.5389,30,0.374,0.1309,breakeven_or_trailing_stop,1.716,0.848,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-07-08T07:00:00,2025-07-08T14:45:00,trend,trend_up,long,7.0,108173.8,107676.3,0.4599,40,0.3486,0.122,breakeven_or_trailing_stop,2.023,0.023,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-07-09T08:00:00,2025-07-09T13:00:00,trend,trend_up,long,7.0,108715.9,108403.26,0.2876,50,1.5518,0.5431,tp_final,3.271,0.659,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-07-10T07:00:00,2025-07-10T12:00:00,trend,trend_up,long,9.1,111346,110777.4,0.5107,30,-1.1567,-0.4048,stop,0.064,1.038,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-07-12T07:00:00,2025-07-12T12:30:00,trend,trend_up,long,8,117915.5,117425.61,0.4155,40,-1.1926,-0.4174,stop,0.534,1.083,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-07-16T07:15:00,2025-07-16T15:30:00,trend,trend_up,long,8,118236,117226.05,0.8542,20,0.4288,0.1501,breakeven_or_trailing_stop,1.535,0.158,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-07-17T07:30:00,2025-07-17T12:00:00,trend,trend_up,long,8,118531,117758.11,0.6521,20,-1.1227,-0.3929,stop,0.887,1.033,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-07-22T08:15:00,2025-07-22T14:00:00,trend,trend_up,long,7.0,117684.6,116813.59,0.7401,20,1.1319,0.3962,breakeven_or_trailing_stop,2.179,0.187,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-07-24T10:45:00,2025-07-24T14:00:00,trend,trend_up,long,7.0,118350,117869.59,0.4059,40,-1.1971,-0.419,stop,0.758,1.201,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-07-31T09:30:00,2025-07-31T13:15:00,trend,trend_up,long,7.0,118498,118228.15,0.2277,50,-1.3513,-0.473,stop,0.749,1.609,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-08-07T08:00:00,2025-08-07T19:30:00,trend,trend_up,long,9.1,114900.9,114196.55,0.613,30,1.6995,0.5948,tp_final,3.121,0.15,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-08-08T07:15:00,2025-08-08T10:45:00,trend,trend_up,long,7.9,116917,116316.23,0.5138,30,-1.1557,-0.4045,stop,0,1.1,V2趋势状态：4H多头; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-08-09T07:15:00,2025-08-09T13:00:00,trend,trend_up,long,8,116844.9,116290.36,0.4746,40,0.3539,0.1239,breakeven_or_trailing_stop,1.915,0.261,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-08-10T08:45:00,2025-08-11T02:00:00,trend,trend_up,long,9.1,118267.8,117291.54,0.8255,20,1.7331,0.6066,tp_final,3.106,0.386,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-08-11T08:15:00,2025-08-11T11:15:00,trend,trend_up,long,7.0,121715,120713.69,0.8227,20,-1.0972,-0.384,stop,0.106,1.213,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-08-12T07:30:00,2025-08-12T10:00:00,trend,trend_up,long,7.0,118956,118336.64,0.5207,30,-1.1537,-0.4038,stop,0.122,1.294,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-08-13T08:00:00,2025-08-13T19:45:00,trend,trend_up,long,7.9,119752,118782.58,0.8095,20,1.7312,0.6059,tp_final,3.176,0.095,V2趋势状态：4H多头; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-08-20T11:30:00,2025-08-20T15:15:00,trend,trend_down,short,7.9,113139,114017.23,0.7762,20,-1.1031,-0.3861,stop,0.953,1.298,V2趋势状态：4H空头; 反抽EMA20/VWAP后跌回; 跌破短结构低点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-08-21T07:00:00,2025-08-21T13:45:00,trend,trend_down,short,7.0,113593,114073.65,0.4231,40,0.3334,0.1167,breakeven_or_trailing_stop,1.437,0.737,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 趋势目标RR>=2
2025-08-22T10:00:00,2025-08-22T12:45:00,trend,trend_down,short,8.1,112721,113312.51,0.5248,30,0.37,0.1295,breakeven_or_trailing_stop,1.851,0.067,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; 跌破短结构低点; CVD顺势确认; 趋势目标RR>=2
2025-08-23T13:00:00,2025-08-24T13:00:00,trend,trend_down,short,8,115142.9,115846.47,0.611,30,0.5868,0.2054,timeout,0.9,0.707,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-08-24T13:15:00,2025-08-24T19:30:00,trend,trend_down,short,7.0,114628.9,115027.62,0.3478,50,1.6,0.56,tp_final,10.396,0.717,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 趋势目标RR>=2
2025-08-26T11:30:00,2025-08-26T12:30:00,trend,trend_down,short,7.9,109625.1,110420.6,0.7257,20,-1.1102,-0.3886,stop,0.12,1.499,V2趋势状态：4H空头; 反抽EMA20/VWAP后跌回; 跌破短结构低点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-08-27T07:00:00,2025-08-27T13:30:00,trend,trend_down,short,8.1,110958.9,111740.44,0.7044,20,-1.1136,-0.3898,stop,0.834,1.041,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; 跌破短结构低点; CVD顺势确认; 趋势目标RR>=2
2025-08-28T17:30:00,2025-08-29T07:15:00,trend,trend_down,short,7.0,112565.6,113340.61,0.6885,20,1.7138,0.5998,tp_final,3.228,0.125,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 趋势目标RR>=2
2025-09-02T11:15:00,2025-09-02T13:30:00,trend,trend_down,short,7.9,109852.9,110749.02,0.8157,20,0.4244,0.1486,breakeven_or_trailing_stop,1.696,0.73,V2趋势状态：4H空头; 反抽EMA20/VWAP后跌回; 跌破短结构低点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-09-04T13:00:00,2025-09-04T15:00:00,trend,trend_down,short,7.0,110717,111160.35,0.4004,40,1.6302,0.5706,tp_final,3.078,0.35,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 趋势目标RR>=2
2025-09-06T09:00:00,2025-09-06T14:00:00,trend,trend_down,short,8,110678.6,110941.26,0.2373,50,-1.3371,-0.468,stop,0.219,1.058,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-09-12T17:00:00,2025-09-13T01:45:00,trend,trend_up,long,7.9,115538.4,114767.56,0.6672,20,0.4026,0.1409,breakeven_or_trailing_stop,1.385,0.05,V2趋势状态：4H多头; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-09-13T10:00:00,2025-09-13T13:45:00,trend,trend_up,long,9.1,116074,115632.51,0.3803,40,-1.2103,-0.4236,stop,0.02,1.151,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-09-15T18:45:00,2025-09-16T18:45:00,trend,trend_up,long,7.9,115252.7,114460.59,0.6873,20,1.1562,0.4047,time_after_tp1,1.991,0.824,V2趋势状态：4H多头; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-09-18T09:00:00,2025-09-18T19:30:00,trend,trend_up,long,7.0,117200,116799.35,0.3419,50,0.2885,0.101,breakeven_or_trailing_stop,1.685,0.714,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-09-19T08:15:00,2025-09-19T09:45:00,trend,trend_up,long,7.9,117033.3,116543.44,0.4186,40,-1.1911,-0.4169,stop,0.009,1.242,V2趋势状态：4H多头; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-09-25T07:30:00,2025-09-25T17:30:00,trend,trend_down,short,7.0,111774.4,112489.59,0.6398,30,1.705,0.5967,tp_final,3.419,0.623,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 趋势目标RR>=2
2025-09-26T07:30:00,2025-09-26T09:15:00,trend,trend_down,short,9.1,108870.1,109629.96,0.698,20,-1.1146,-0.3901,stop,0.0,1.031,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; 跌破短结构低点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-09-27T07:30:00,2025-09-28T00:15:00,trend,trend_down,short,9.1,109327.6,109708.78,0.3487,50,-1.2294,-0.4303,stop,0.802,1.108,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; 跌破短结构低点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-10-02T09:45:00,2025-10-02T14:45:00,trend,trend_up,long,7.9,118813.3,118271.22,0.4562,40,0.3472,0.1215,breakeven_or_trailing_stop,1.723,0.612,V2趋势状态：4H多头; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2025-10-03T11:30:00,2025-10-03T16:00:00,trend,trend_up,long,7.0,120319,119572.16,0.6207,30,1.7011,0.5954,tp_final,3.977,0.668,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2025-10-04T08:00:00,2025-10-04T10:45:00,trend,trend_up,long,8,122425.5,122117.09,0.2519,50,-1.3176,-0.4611,stop,0.104,1.178,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
