trade_no,entry_time_utc,exit_time_utc,symbol,direction,regime,score,entry,stop,leverage,risk_pct_price,r_multiple,account_pct,outcome,mfe_r,mae_r,equity,drawdown_pct,notes
1,2025-06-05 07:15,2025-06-05 12:15,XRPUSDT,short,trend_down,7.65,2.1959,2.214584142857143,20,0.8508649235913716,-1.0940219743250577,-0.3829076910137702,stop,0.7278899601648341,1.102539204367333,99.61709230898623,-0.3829076910137674,XRPUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 量能实体合格 / 目标RR>=2
2,2025-06-10 11:15,2025-06-10 13:30,BTCUSDT,long,trend_up,7.7,109696.0,108974.7657142857,20,0.657484580763468,-1.1216758572605678,-0.39258655004119875,stop,0.21754373455028417,1.1200244026113877,99.22600900303902,-0.7739909969609715,BTCUSDT:4H多头 / 1H趋势状态确认 / 15m回踩EMA20/VWAP后收回 / 突破短结构高点 / 量能实体合格 / 目标RR>=2
3,2025-06-11 07:00,2025-06-11 08:15,ETHUSDT,long,trend_up,7.8500000000000005,2796.2,2776.959757142857,20,0.6880853607446776,-1.116264644714168,-0.39069262564995877,stop,0.26299044339359495,1.2058059855199352,98.83834030313739,-1.1616596968626158,ETHUSDT:4H多头 / 1H趋势状态确认 / 15m回踩EMA20/VWAP后收回 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
4,2025-06-12 08:00,2025-06-12 11:15,BNBUSDT,long,trend_up,7.95,667.59,663.9448,30,0.5460237570964283,-1.1465137715351676,-0.40127982003730867,stop,0.4334467244595379,1.100076813343559,98.4417219890411,-1.5582780109589023,BNBUSDT:4H多头 / 1H趋势状态确认 / 15m在日内VWAP上方且VWAP上行 / 15m回踩EMA20/VWAP后收回 / CVD多周期顺势 / 目标RR>=2
5,2025-06-17 13:45,2025-06-18 01:00,BNBUSDT,short,trend_down,9.0,652.29,656.5677571428572,20,0.655806028431716,1.1180127102653938,0.3913044485928879,breakeven_or_trailing_stop,2.8730008716182307,0.3997421879957115,98.82692882645566,-1.1730711735443489,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 跌破短结构低点 / CVD多周期顺势 / 目标RR>=2
6,2025-06-18 08:45,2025-06-18 13:15,SOLUSDT,short,trend_down,7.95,147.6,148.84504285714286,20,0.8435249709639995,1.735159891225776,0.6073059619290216,tp_final,3.140454143861926,0.5702614941539628,99.42711065721006,-0.5728893427899395,SOLUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
7,2025-06-19 07:00,2025-06-19 18:00,XRPUSDT,short,trend_down,7.300000000000001,2.1602,2.176316,20,0.7460420331450698,-1.107232563911642,-0.3875313973690747,stop,1.0672623479771992,1.0486473070240696,99.04179938591648,-0.9582006140835264,XRPUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
8,2025-06-20 16:45,2025-06-20 20:00,BNBUSDT,short,trend_down,7.95,644.03,649.4824,20,0.846606524540784,0.42800509867214065,0.14980178453524923,breakeven_or_trailing_stop,1.1279436578387434,0.21641845792679576,99.1901657688324,-0.8098342311675943,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
9,2025-06-21 05:00,2025-06-21 07:30,BNBUSDT,short,trend_down,8.0,642.37,645.0645285714286,40,0.41946675147167173,1.0492816660216195,0.36724858310756686,breakeven_or_trailing_stop,2.104264196758491,0.5566836499361127,99.55444024720049,-0.445559752799507,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m反抽EMA20/VWAP后跌回 / 跌破短结构低点 / CVD多周期顺势 / 目标RR>=2
10,2025-06-22 07:30,2025-06-22 13:30,BTCUSDT,short,trend_down,7.7,102292.0,102949.12742857143,30,0.6424035394472996,1.705467684893472,0.5969136897127152,tp_final,3.1555523477507674,0.7573873473551038,100.14869432975289,0.0,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m反抽EMA20/VWAP后跌回 / 跌破短结构低点 / 量能实体合格 / 目标RR>=2
11,2025-06-25 19:00,2025-06-26 13:45,BTCUSDT,long,trend_up,7.8,107633.9,106805.51042857143,20,0.769636305502784,-1.103945200386224,-0.3863808201351784,stop,0.7436114857623156,1.0776330736039237,99.76173898324691,-0.38638082013517927,BTCUSDT:4H多头 / 1H趋势状态确认 / 15m在日内VWAP上方且VWAP上行 / 15m回踩EMA20/VWAP后收回 / 突破短结构高点 / 目标RR>=2
12,2025-07-01 02:00,2025-07-01 03:00,BNBUSDT,long,trend_up,7.95,658.21,656.4347571428572,50,0.26970767037007504,-1.2966174446956933,-0.4538161056434927,stop,0.4224774075176804,1.0421109385436245,99.30900414447092,-0.8384434673877728,BNBUSDT:4H多头 / 1H趋势状态确认 / 15m在日内VWAP上方且VWAP上行 / 15m回踩EMA20/VWAP后收回 / CVD多周期顺势 / 目标RR>=2
13,2025-07-02 02:00,2025-07-02 03:15,LINKUSDT,short,trend_down,7.65,12.835,12.927943241881145,20,0.7241390095920875,-1.1104760259291437,-0.3886666090752003,stop,0.15062956398598926,1.2803512938808035,98.92302320555625,-1.2238513266692785,LINKUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 量能实体合格 / 目标RR>=2
14,2025-07-03 04:00,2025-07-03 10:30,XRPUSDT,long,trend_up,8.7,2.2487,2.2311875714285714,20,0.7787801205776022,1.7272752412572294,0.6045463344400304,tp_final,3.015001590707011,0.057102302854293206,99.5210587162627,-0.6267037405636167,XRPUSDT:4H多头 / 1H趋势状态确认 / 15m在日内VWAP上方且VWAP上行 / 15m回踩EMA20/VWAP后收回 / 突破短结构高点 / 量能实体合格 / 目标RR>=2
