config,scenario,trades,wins,losses,win_rate_pct,profit_factor,expectancy_r,total_r,gross_account_return_pct,net_account_return_pct,cost_drag_pct_points,avg_cost_account_pct,avg_fee_account_pct,avg_slippage_account_pct,avg_funding_account_pct,max_drawdown_pct,avg_holding_hours,avg_notional_to_equity,source_win_rate_pct,source_profit_factor,source_account_return_pct,source_max_drawdown_pct,fee_bps_per_side,slippage_bps_per_side,funding_bps_per_8h,scenario_note
v3_core4_frequency,gross_no_cost,155,87,68,56.12903225806451,1.1886968366564301,0.0937825119563469,14.53628935323377,5.08770127363182,5.08770127363182,0.0,0.0,0.0,0.0,0.0,3.746974965283457,6.129032258064516,0.5623733671112505,56.12903225806451,1.1886968366564308,5.087701273631818,3.7873471254460793,0.0,0.0,0.0,"Original gross backtest, used only as a control."
v3_core4_frequency,maker_low_cost,155,86,69,55.483870967741936,0.927352114040879,-0.04048762872200611,-6.275582451910948,5.08770127363182,-2.1964538581688324,7.284155131800652,0.046994549237423563,0.022494934684450022,0.022494934684450022,0.002004679868523523,5.490575409450523,6.129032258064516,0.5623733671112505,56.12903225806451,1.1886968366564308,5.087701273631818,3.7873471254460793,2.0,2.0,0.5,Optimistic maker-like execution with light funding proxy.
v3_core4_frequency,base_taker_cost,155,83,72,53.5483870967742,0.7181393355483185,-0.17475776940035914,-27.08745425705567,5.08770127363182,-9.480608989969483,14.568310263601303,0.09398909847484711,0.05623733671112506,0.03374240202667503,0.004009359737047046,9.632330328504006,6.129032258064516,0.5623733671112505,56.12903225806451,1.1886968366564308,5.087701273631818,3.7873471254460793,5.0,3.0,1.0,Conservative Binance VIP0 taker-style fee plus slippage and funding proxy.
v3_core4_frequency,high_slippage,155,79,76,50.967741935483865,0.5949434085799963,-0.27116463233371635,-42.03051801172603,5.08770127363182,-14.71068130410411,19.79838257773593,0.12773150050152213,0.05623733671112506,0.06748480405335006,0.004009359737047046,14.11878554768045,6.129032258064516,0.5623733671112505,56.12903225806451,1.1886968366564308,5.087701273631818,3.7873471254460793,5.0,6.0,1.0,Base fee with doubled slippage.
v3_core4_frequency,fee_1p5x,155,79,76,50.967741935483865,0.6141094828838104,-0.25509682184482346,-39.54000738594764,5.08770127363182,-13.839002585081676,18.926703858713495,0.12210776683040965,0.08435600506668757,0.03374240202667503,0.004009359737047046,13.386701709885223,6.129032258064516,0.5623733671112505,56.12903225806451,1.1886968366564308,5.087701273631818,3.7873471254460793,7.5,3.0,1.0,Fee multiplied by 1.5 while keeping base slippage/funding.
v3_core4_frequency,funding_3x,155,82,73,52.903225806451616,0.6857097374596359,-0.19766839646919937,-30.638601452725904,5.08770127363182,-10.723510508454066,15.811211782085886,0.10200781794894122,0.05623733671112506,0.03374240202667503,0.01202807921114114,10.69090808501558,6.129032258064516,0.5623733671112505,56.12903225806451,1.1886968366564308,5.087701273631818,3.7873471254460793,5.0,3.0,3.0,Base fee/slippage with funding cost tripled.
v3_core4_frequency,combined_stress,155,71,84,45.806451612903224,0.48282449412448764,-0.37441431184702106,-58.03421833628826,5.08770127363182,-20.311976417700897,25.39967769133272,0.16386888833117877,0.08435600506668757,0.06748480405335006,0.01202807921114114,18.659415295994446,6.129032258064516,0.5623733671112505,56.12903225806451,1.1886968366564308,5.087701273631818,3.7873471254460793,7.5,6.0,3.0,"Combined adverse case: fee 1.5x, slippage 2x, funding 3x."
v3_core4_quality,gross_no_cost,135,85,50,62.96296296296296,1.6075136496989297,0.2541987949627598,34.31683731997258,12.010893061990405,12.010893061990405,0.0,0.0,0.0,0.0,0.0,3.4188386955710417,6.437037037037037,0.5487997605372754,62.96296296296296,1.6075136496989306,12.0108930619904,3.461090622155252,0.0,0.0,0.0,"Original gross backtest, used only as a control."
v3_core4_quality,maker_low_cost,135,83,52,61.48148148148148,1.2620738660175728,0.12284538380696104,16.58412681393974,12.010893061990405,5.804444384878911,6.206448677111494,0.045973693904529586,0.021951990421491024,0.021951990421491024,0.0020697130615475404,4.389573691118331,6.437037037037037,0.5487997605372754,62.96296296296296,1.6075136496989306,12.0108930619904,3.461090622155252,2.0,2.0,0.5,Optimistic maker-like execution with light funding proxy.
v3_core4_quality,base_taker_cost,135,79,56,58.51851851851851,0.9837493827708605,-0.00850802734883771,-1.1485836920930907,12.010893061990405,-0.40200429223258194,12.412897354222988,0.09194738780905914,0.054879976053727554,0.03292798563223652,0.004139426123095081,5.416527978130487,6.437037037037037,0.5487997605372754,62.96296296296296,1.6075136496989306,12.0108930619904,3.461090622155252,5.0,3.0,1.0,Conservative Binance VIP0 taker-style fee plus slippage and funding proxy.
