period,trades,wins,losses,win_rate_pct,profit_factor,net_account_return_pct,expectancy_r,max_drawdown_pct,avg_cost_account_pct,avg_holding_hours,config
2025-06,11,5,6,45.45454545454545,0.5812313482259959,-1.1929516156275208,-0.30985756250065477,1.8962396779544366,0.08764974356895197,6.2727272727272725,v3_pool8_quality
2025-07,19,7,12,36.84210526315789,0.3940933195092295,-3.4200490325333783,-0.5142930875990043,3.69759227488875,0.10310699694912946,4.223684210526316,v3_pool8_quality
2025-08,16,12,4,75.0,1.6442541009670464,1.1908139557187458,0.21264534923549033,0.4770214268395745,0.0814099021437278,5.703125,v3_pool8_quality
2025-09,19,13,6,68.42105263157895,2.483849818225237,3.1988101649082297,0.4810240849486059,1.6191742353198428,0.10179031950255316,7.078947368421052,v3_pool8_quality
2025-10,12,8,4,66.66666666666666,1.5903841575127193,1.088064928718818,0.25906307826638514,0.4826614156996382,0.07926386171223719,7.1875,v3_pool8_quality
2025-11,7,6,1,85.71428571428571,4.970728678365904,1.8183967140946655,0.7422027404468021,0.4579503817528425,0.07291203569269829,3.142857142857143,v3_pool8_quality
2025-12,15,10,5,66.66666666666666,0.963136347465352,-0.08449836218023353,-0.016094926129568265,0.8110055417510578,0.10449278529536546,5.75,v3_pool8_quality
2026-01,15,12,3,80.0,3.131850261698356,2.9279849068951442,0.5577114108371702,0.9103516332509523,0.08522030072897632,8.016666666666667,v3_pool8_quality
2026-02,10,5,5,50.0,0.595372920389479,-0.9699792932381341,-0.27713694092518104,1.6060182877571616,0.08733203691464748,3.225,v3_pool8_quality
2026-03,9,6,3,66.66666666666666,1.3205837742244269,0.4391806999835947,0.1394224444392365,0.9012296757816066,0.07756880055070774,8.472222222222221,v3_pool8_quality
2026-04,21,10,11,47.61904761904761,0.688210895001196,-1.320210235708354,-0.1796204402324292,2.6968107723391967,0.07799447504631044,5.642857142857143,v3_pool8_quality
