score_threshold,slippage_bps_per_side,traded_events,filtered_events,signals_with_data,mean_realized_r,total_account_return_pct,mean_net_notional_return_pct
0,5.0,4,0,4,0.0185,-0.7619,0.6069
0,15.0,4,0,4,0.0185,-0.7619,0.4069
60,5.0,2,2,2,-0.0238,-0.7619,2.2533
60,15.0,2,2,2,-0.0238,-0.7619,2.0534
70,5.0,2,2,2,-0.0238,-0.7619,2.2533
70,15.0,2,2,2,-0.0238,-0.7619,2.0534
80,5.0,2,2,2,-0.0238,-0.7619,2.2533
80,15.0,2,2,2,-0.0238,-0.7619,2.0534
90,5.0,2,2,2,-0.0238,-0.7619,2.2533
90,15.0,2,2,2,-0.0238,-0.7619,2.0534
