symbol,entry_time,exit_time,entry,stop,final_exit_price,score,structure_score,rr_score,stop_score,liquidity_score,slippage_score,volatility_score,weighted_rr,risk_pct,tp_hits,exit_reason,gross_r,net_notional_return_pct,account_risk_pct,account_return_pct,btc_filter_pass
XRPUSDT,2025-06-08T12:00:00+00:00,2025-06-13T04:00:00+00:00,2.2583,2.1467,2.1467,93.0,25.0,22.0,15.0,9.0,8.0,14.0,3.1,4.941770358234076,0,close_below_stop,-1.0,-5.3417703582340765,1.0,-1.0,True
BTCUSDT,2025-06-08T16:00:00+00:00,2025-06-15T16:00:00+00:00,106102.6,103800.1,105505.9,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1,2.170069347970738,1,max_hold_close,0.2685928338762179,0.18286507587937684,1.0,0.2685928338762179,True
SOLUSDT,2025-06-08T20:00:00+00:00,2025-06-13T04:00:00+00:00,154.6,146.84,146.84,93.0,25.0,22.0,15.0,9.0,10.0,12.0,3.1,5.019404915912026,1,close_below_stop,-0.25,-1.6548512289780066,1.0,-0.25,True
BNBUSDT,2025-06-09T16:00:00+00:00,2025-06-13T00:00:00+00:00,657.33,646.21,646.21,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,1.6916921485403076,1,close_below_stop,-0.2500000000000015,-0.8229230371350795,1.0,-0.2500000000000015,True
ETHUSDT,2025-06-09T20:00:00+00:00,2025-06-16T20:00:00+00:00,2575.44,2475.83,2651.09,96.0,25.0,22.0,15.0,10.0,10.0,14.0,3.1,3.8676886279626053,2,max_hold_close,1.5037847605662082,5.416171217345393,1.0,1.5037847605662082,True
BTCUSDT,2025-06-16T08:00:00+00:00,2025-06-18T20:00:00+00:00,107053.6,104225.4,104225.4,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1,2.641854173983884,0,close_below_stop,-1.0,-3.041854173983884,1.0,-1.0,True
ETHUSDT,2025-06-16T16:00:00+00:00,2025-06-20T16:00:00+00:00,2638.98,2490.38,2490.38,96.0,25.0,22.0,15.0,10.0,10.0,14.0,3.1,5.630963478313587,0,close_below_stop,-1.0,-6.030963478313588,1.0,-1.0,True
BNBUSDT,2025-06-25T04:00:00+00:00,2025-07-02T04:00:00+00:00,647.92,615.6,649.87,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,4.988270156809473,0,max_hold_close,0.06033415841584311,-0.09903691813803472,1.0,0.06033415841584311,True
BTCUSDT,2025-06-25T16:00:00+00:00,2025-07-02T16:00:00+00:00,107314.2,103235.7,109381.8,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1000000000000005,3.8005222048899405,0,max_hold_close,0.5069510849577065,1.52667885517481,1.0,0.5069510849577065,True
ETHUSDT,2025-06-26T04:00:00+00:00,2025-07-03T04:00:00+00:00,2482.21,2374.9,2565.04,96.0,25.0,22.0,15.0,10.0,10.0,14.0,3.1,4.323163632408215,0,max_hold_close,0.7718758736371258,2.9369457056413415,1.0,0.7718758736371258,True
BNBUSDT,2025-06-30T00:00:00+00:00,2025-07-07T00:00:00+00:00,655.72,644.06,662.85,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,1.7781980113463187,0,max_hold_close,0.6114922813035973,0.6873543585676806,1.0,0.6114922813035973,True
ETHUSDT,2025-06-30T00:00:00+00:00,2025-07-01T20:00:00+00:00,2505.06,2416.52,2416.52,96.0,25.0,22.0,15.0,10.0,10.0,14.0,3.1,3.534446280727806,0,close_below_stop,-1.0,-3.934446280727806,1.0,-1.0,True
LINKUSDT,2025-06-30T00:00:00+00:00,2025-07-01T20:00:00+00:00,13.684,13.041,13.041,91.0,25.0,22.0,15.0,8.0,9.0,12.0,3.0999999999999996,4.698918444899144,0,close_below_stop,-1.0,-5.0989184448991445,1.0,-1.0,True
BNBUSDT,2025-07-02T16:00:00+00:00,2025-07-09T16:00:00+00:00,663.74,643.5,663.09,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,3.0493868080875055,0,max_hold_close,-0.03211462450592772,-0.49792991231505973,1.0,-0.03211462450592772,True
BTCUSDT,2025-07-02T16:00:00+00:00,2025-07-09T16:00:00+00:00,109381.8,105010.0,109082.2,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1000000000000005,3.9968257973447163,0,max_hold_close,-0.06853012489135038,-0.6739029710610045,1.0,-0.06853012489135038,True
XRPUSDT,2025-07-07T16:00:00+00:00,2025-07-14T16:00:00+00:00,2.3467,2.2059,2.9259,95.0,25.0,22.0,15.0,9.0,10.0,14.0,3.1,5.999914773937853,3,max_hold_close,2.8170454545454566,16.50203264158176,1.0,2.8170454545454566,True
LINKUSDT,2025-07-08T20:00:00+00:00,2025-07-15T20:00:00+00:00,13.881,13.191,15.69,89.0,25.0,22.0,15.0,8.0,7.0,12.0,3.1,4.970823427706934,2,max_hold_close,2.248695652173913,10.777869029608809,0.75,1.686521739130435,True
ETHUSDT,2025-07-09T12:00:00+00:00,2025-07-16T12:00:00+00:00,2651.8,2505.37,3151.21,96.0,25.0,22.0,15.0,10.0,10.0,14.0,3.1,5.52190964627801,2,max_hold_close,2.5642286416717854,13.759438871709792,1.0,2.5642286416717854,True
SOLUSDT,2025-07-09T12:00:00+00:00,2025-07-16T12:00:00+00:00,154.2,147.6,166.88,93.0,25.0,22.0,15.0,9.0,10.0,12.0,3.1,4.280155642023343,1,max_hold_close,1.7948484848484858,7.282230869001295,1.0,1.7948484848484858,True
BNBUSDT,2025-07-09T20:00:00+00:00,2025-07-16T20:00:00+00:00,670.13,657.24,709.93,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,1.9235073791652346,2,max_hold_close,2.435065942591156,4.283867309328036,1.0,2.435065942591156,True
BTCUSDT,2025-07-09T20:00:00+00:00,2025-07-16T20:00:00+00:00,111297.3,107400.0,119235.0,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1000000000000005,3.5017021976274383,2,max_hold_close,2.014687091063043,6.654834214307087,1.0,2.014687091063043,True
BNBUSDT,2025-07-14T04:00:00+00:00,2025-07-15T08:00:00+00:00,697.96,679.47,679.47,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,2.649148948363804,0,close_below_stop,-1.0,-3.049148948363804,1.0,-1.0,True
BTCUSDT,2025-07-14T04:00:00+00:00,2025-07-15T20:00:00+00:00,120794.6,116716.95914685215,116716.95914685215,94.0,25.0,22.0,12.0,10.0,10.0,15.0,3.1,3.3756814072382806,0,close_below_stop,-1.0,-3.7756814072382805,1.0,-1.0,True
BNBUSDT,2025-07-16T20:00:00+00:00,2025-07-23T20:00:00+00:00,709.93,675.0,770.43,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,4.920203400335238,2,max_hold_close,1.892814199828229,8.913030862197676,1.0,1.892814199828229,True
BNBUSDT,2025-07-21T12:00:00+00:00,2025-07-28T12:00:00+00:00,768.64,725.15,849.21,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.0999999999999996,5.658045378850959,1,max_hold_close,1.7468268567486784,9.483625624479606,1.0,1.7468268567486784,True
ETHUSDT,2025-07-27T12:00:00+00:00,2025-08-01T08:00:00+00:00,3833.22,3615.11,3615.11,96.0,25.0,22.0,15.0,10.0,10.0,14.0,3.0999999999999988,5.689994312875329,0,close_below_stop,-1.0,-6.089994312875329,1.0,-1.0,True
BNBUSDT,2025-07-27T16:00:00+00:00,2025-08-01T08:00:00+00:00,819.12,775.72,775.72,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1000000000000005,5.298368981345831,0,close_below_stop,-1.0,-5.698368981345832,1.0,-1.0,True
LINKUSDT,2025-07-27T20:00:00+00:00,2025-07-28T20:00:00+00:00,19.092,18.165,18.165,91.0,25.0,22.0,15.0,8.0,9.0,12.0,3.1,4.855436832181017,0,close_below_stop,-1.0,-5.255436832181017,1.0,-1.0,True
SOLUSDT,2025-07-28T04:00:00+00:00,2025-07-28T20:00:00+00:00,192.92,184.19,184.19,93.0,25.0,22.0,15.0,9.0,10.0,12.0,3.1,4.525191789342728,0,close_below_stop,-1.0,-4.925191789342728,1.0,-1.0,True
BNBUSDT,2025-08-06T20:00:00+00:00,2025-08-13T20:00:00+00:00,773.38,745.41,843.93,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,3.616592102200733,2,max_hold_close,2.2089381480157293,7.5888282603636,1.0,2.2089381480157293,True
BTCUSDT,2025-08-07T12:00:00+00:00,2025-08-14T12:00:00+00:00,116244.2,112755.1,120948.0,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.0999999999999996,3.0015260976461544,1,max_hold_close,1.393698948152821,3.783223765142687,1.0,1.393698948152821,True
BNBUSDT,2025-08-09T08:00:00+00:00,2025-08-16T08:00:00+00:00,808.97,768.23,834.93,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,5.036033474665317,1,max_hold_close,0.8960481099656342,4.112528276697522,1.0,0.8960481099656342,True
BTCUSDT,2025-08-10T04:00:00+00:00,2025-08-17T04:00:00+00:00,118679.1,115850.0,117663.3,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1,2.3838232679553566,1,max_hold_close,0.19866211869499112,0.07357538100642869,1.0,0.19866211869499112,True
SOLUSDT,2025-08-10T04:00:00+00:00,2025-08-17T04:00:00+00:00,185.0,174.12,192.32,93.0,25.0,22.0,15.0,9.0,10.0,12.0,3.1,5.881081081081079,1,max_hold_close,0.9209558823529409,5.016216216216212,1.0,0.9209558823529409,True
ETHUSDT,2025-08-11T04:00:00+00:00,2025-08-18T04:00:00+00:00,4337.01,4077.5154391842866,4318.12,96.0,25.0,22.0,15.0,10.0,10.0,14.0,3.1,5.983259453303395,1,max_hold_close,0.39904324792614465,1.9875792854309955,1.0,0.39904324792614465,True
BNBUSDT,2025-08-12T20:00:00+00:00,2025-08-19T20:00:00+00:00,832.35,791.1,830.16,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.0999999999999996,4.955847900522616,0,max_hold_close,-0.05309090909091042,-0.6631104703550255,1.0,-0.05309090909091042,True
BTCUSDT,2025-08-13T20:00:00+00:00,2025-08-14T16:00:00+00:00,122786.3,118154.3,118154.3,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.0999999999999974,3.772407833772986,0,close_below_stop,-1.0,-4.172407833772986,1.0,-1.0,True
BNBUSDT,2025-08-22T16:00:00+00:00,2025-08-29T16:00:00+00:00,886.6,833.72,858.96,92.0,25.0,22.0,15.0,9.0,8.0,13.0,3.0999999999999996,5.964358222422738,0,max_hold_close,-0.5226928895612706,-3.5175276336566643,1.0,-0.5226928895612706,True
BTCUSDT,2025-08-22T16:00:00+00:00,2025-08-25T08:00:00+00:00,116538.1,111929.5,111929.5,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1,3.9545865257799857,0,close_below_stop,-1.0,-4.354586525779986,1.0,-1.0,True
BTCUSDT,2025-09-02T16:00:00+00:00,2025-09-09T16:00:00+00:00,110919.8,107211.5,111059.3,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1000000000000005,3.3432263671589766,0,max_hold_close,0.037618315670253186,-0.2742334551630998,1.0,0.037618315670253186,True
BNBUSDT,2025-09-06T12:00:00+00:00,2025-09-13T12:00:00+00:00,864.54,841.08,941.12,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1,2.7135817891595444,2,max_hold_close,2.505711849957379,6.3994540449256165,1.0,2.505711849957379,True
DOGEUSDT,2025-09-07T16:00:00+00:00,2025-09-13T12:00:00+00:00,0.22363,0.21213,0.2926299999999999,88.0,25.0,22.0,15.0,8.0,7.0,11.0,3.0999999999999996,5.142422751866915,4,all_tp_hit,3.0999999999999996,15.541510530787436,0.75,2.3249999999999997,True
AVAXUSDT,2025-09-08T12:00:00+00:00,2025-09-13T08:00:00+00:00,25.185,24.186,31.17899999999999,90.0,25.0,22.0,15.0,8.0,9.0,11.0,3.1,3.966646813579507,4,all_tp_hit,3.1,11.896605122096473,1.0,3.1,True
XRPUSDT,2025-09-08T12:00:00+00:00,2025-09-15T12:00:00+00:00,2.9369,2.791,2.9922,95.0,25.0,22.0,15.0,9.0,10.0,14.0,3.1,4.9678232149545485,1,max_hold_close,0.7153187114461952,3.153576900813783,1.0,0.7153187114461952,True
BTCUSDT,2025-09-09T08:00:00+00:00,2025-09-16T08:00:00+00:00,112996.8,110566.5,115905.1,97.0,25.0,22.0,15.0,10.0,10.0,15.0,3.1,2.150768871330872,1,max_hold_close,1.287678475908323,2.369498782266402,1.0,1.287678475908323,True
SOLUSDT,2025-09-10T08:00:00+00:00,2025-09-17T08:00:00+00:00,222.01,210.8,235.84,93.0,25.0,22.0,15.0,9.0,10.0,12.0,3.1,5.049322102607982,1,max_hold_close,1.3136039250669067,6.232809332912931,1.0,1.3136039250669067,True
BNBUSDT,2025-09-10T16:00:00+00:00,2025-09-17T16:00:00+00:00,895.35,871.72,946.86,94.0,25.0,22.0,15.0,9.0,10.0,13.0,3.1000000000000005,2.639191377673535,2,max_hold_close,2.071942446043166,5.068252638632936,1.0,2.071942446043166,True
